semester_code,user_code,subject_code,score
201811,100018001,kor1,56
201811,100018001,eng1,55
201811,100018001,mat1,56
201811,100018001,his1,56
201811,100018001,phl1,54
201811,100018001,eco1,56
201811,100018001,phy1,58
201811,100018001,bio1,58
201811,100018001,for1,56
201811,100018002,kor1,25
201811,100018002,eng1,24
201811,100018002,mat1,26
201811,100018002,his1,27
201811,100018002,phl1,28
201811,100018002,eco1,25
201811,100018002,phy1,27
201811,100018002,bio1,26
201811,100018002,for1,28
201811,100018003,kor1,44
201811,100018003,eng1,46
201811,100018003,mat1,47
201811,100018003,his1,45
201811,100018003,phl1,44
201811,100018003,eco1,46
201811,100018003,phy1,48
201811,100018003,bio1,47
201811,100018003,for1,48
201811,100018004,kor1,37
201811,100018004,eng1,37
201811,100018004,mat1,38
201811,100018004,his1,37
201811,100018004,phl1,38
201811,100018004,eco1,38
201811,100018004,phy1,41
201811,100018004,bio1,40
201811,100018004,for1,40
201811,100018005,kor1,18
201811,100018005,eng1,14
201811,100018005,mat1,14
201811,100018005,his1,16
201811,100018005,phl1,18
201811,100018005,eco1,14
201811,100018005,phy1,17
201811,100018005,bio1,13
201811,100018005,for1,20
201811,100018006,kor1,55
201811,100018006,eng1,55
201811,100018006,mat1,56
201811,100018006,his1,56
201811,100018006,phl1,54
201811,100018006,eco1,56
201811,100018006,phy1,58
201811,100018006,bio1,58
201811,100018006,for1,56
201811,100018007,kor1,47
201811,100018007,eng1,48
201811,100018007,mat1,49
201811,100018007,his1,47
201811,100018007,phl1,47
201811,100018007,eco1,48
201811,100018007,phy1,51
201811,100018007,bio1,49
201811,100018007,for1,51
201811,100018008,kor1,39
201811,100018008,eng1,40
201811,100018008,mat1,40
201811,100018008,his1,40
201811,100018008,phl1,39
201811,100018008,eco1,40
201811,100018008,phy1,44
201811,100018008,bio1,42
201811,100018008,for1,42
201811,100018009,kor1,38
201811,100018009,eng1,39
201811,100018009,mat1,40
201811,100018009,his1,39
201811,100018009,phl1,39
201811,100018009,eco1,40
201811,100018009,phy1,43
201811,100018009,bio1,41
201811,100018009,for1,42
201811,100018010,kor1,38
201811,100018010,eng1,39
201811,100018010,mat1,40
201811,100018010,his1,39
201811,100018010,phl1,39
201811,100018010,eco1,39
201811,100018010,phy1,43
201811,100018010,bio1,41
201811,100018010,for1,41
201811,100018011,kor1,32
201811,100018011,eng1,33
201811,100018011,mat1,33
201811,100018011,his1,35
201811,100018011,phl1,34
201811,100018011,eco1,34
201811,100018011,phy1,36
201811,100018011,bio1,35
201811,100018011,for1,34
201811,100018012,kor1,49
201811,100018012,eng1,50
201811,100018012,mat1,51
201811,100018012,his1,50
201811,100018012,phl1,49
201811,100018012,eco1,50
201811,100018012,phy1,53
201811,100018012,bio1,52
201811,100018012,for1,53
201811,100018013,kor1,37
201811,100018013,eng1,38
201811,100018013,mat1,39
201811,100018013,his1,38
201811,100018013,phl1,38
201811,100018013,eco1,38
201811,100018013,phy1,41
